,Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Recovered
148226,Liaoning,China,41.2956,122.6085,2021-07-06,430,2,424
148227,Macau,China,22.1667,113.55,2021-07-06,55,0,52
148228,Ningxia,China,37.2692,106.1655,2021-07-06,76,0,75
148229,Qinghai,China,35.7452,95.9956,2021-07-06,18,0,18
148230,Shaanxi,China,35.1917,108.8701,2021-07-06,631,3,619
148231,Shandong,China,36.3427,118.1498,2021-07-06,883,7,876
148232,Shanghai,China,31.202,121.4491,2021-07-06,2226,7,2163
148233,Shanxi,China,37.5777,112.2922,2021-07-06,253,0,252
148234,Sichuan,China,30.6171,102.7103,2021-07-06,1110,3,1065
148235,Tianjin,China,39.3054,117.323,2021-07-06,404,3,391
148236,Tibet,China,31.6927,88.0924,2021-07-06,1,0,1
148237,Unknown,China,,,2021-07-06,0,0,25
148238,Xinjiang,China,41.1129,85.2401,2021-07-06,980,3,977
148239,Yunnan,China,24.974,101.487,2021-07-06,461,2,369
148240,Zhejiang,China,29.1832,120.0934,2021-07-06,1386,1,1337
148241,,Colombia,4.5709,-74.2973,2021-07-06,4402582,110019,4113917
148242,,Comoros,-11.6455,43.3333,2021-07-06,3958,146,3766
148243,,Congo (Brazzaville),-0.228,15.8277,2021-07-06,12790,167,11759
148244,,Congo (Kinshasa),-4.0383,21.7587,2021-07-06,42880,969,28526
148245,,Costa Rica,9.7489,-83.7534,2021-07-06,375812,4740,300983
148246,,Cote d'Ivoire,7.54,-5.5471,2021-07-06,48634,315,47994
148247,,Croatia,45.1,15.2,2021-07-06,360342,8221,351593
148248,,Cuba,21.521757,-77.781167,2021-07-06,210913,1387,189163
148249,,Cyprus,35.1264,33.4299,2021-07-06,79636,380,39061
148250,,Czechia,49.8175,15.473,2021-07-06,1668170,30312,1636428
148251,Faroe Islands,Denmark,61.8926,-6.9118,2021-07-06,793,1,767
148252,Greenland,Greenland,71.7069,-42.6043,2021-07-06,51,0,50
148253,,Denmark,56.2639,9.5018,2021-07-06,296196,2538,289418
148254,,Diamond Princess,0.0,0.0,2021-07-06,712,13,699
148255,,Djibouti,11.8251,42.5903,2021-07-06,11609,155,11446
148256,,Dominica,15.415,-61.371,2021-07-06,194,0,191
148257,,Dominican Republic,18.7357,-70.1627,2021-07-06,330244,3866,270897
148258,,Ecuador,-1.8312,-78.1834,2021-07-06,463951,21708,431404
148259,,Egypt,26.820553,30.802498,2021-07-06,282421,16306,215419
148260,,El Salvador,13.7942,-88.8965,2021-07-06,80235,2414,73590
148261,,Equatorial Guinea,1.6508,10.2679,2021-07-06,8775,122,8556
148262,,Eritrea,15.1794,39.7823,2021-07-06,6188,25,5808
148263,,Estonia,58.5953,25.0136,2021-07-06,131257,1270,127652
148264,,Eswatini,-26.5225,31.4659,2021-07-06,19410,683,18323
148265,,Ethiopia,9.145,40.4897,2021-07-06,276598,4335,261656
148266,,Fiji,-17.7134,178.065,2021-07-06,7149,39,1318
148267,,Finland,61.92411,25.748151,2021-07-06,96791,973,46000
148268,French Guiana,France,3.9339,-53.1258,2021-07-06,27730,148,9995
148269,French Polynesia,France,-17.6797,149.4068,2021-07-06,19020,144,18867
148270,Guadeloupe,France,16.265,-61.551,2021-07-06,17684,270,2250
148271,Martinique,France,14.6415,-61.0242,2021-07-06,12396,98,98
148272,Mayotte,France,-12.8275,45.166244,2021-07-06,19412,174,2964
148273,New Caledonia,France,-20.904305,165.618042,2021-07-06,129,0,58
148274,Reunion,France,-21.1151,55.5364,2021-07-06,31845,244,29597
148275,Saint Barthelemy,France,17.9,-62.8333,2021-07-06,1005,1,462
148276,Saint Pierre and Miquelon,France,46.8852,-56.3159,2021-07-06,26,0,26
148277,St Martin,France,18.0708,-63.0501,2021-07-06,2314,37,1399
148278,Wallis and Futuna,France,-14.2938,-178.1165,2021-07-06,445,7,438
148279,,France,46.2276,2.2137,2021-07-06,5720593,110297,340385
148280,,Gabon,-0.8037,11.6094,2021-07-06,25106,161,24818
148281,,Gambia,13.4432,-15.3101,2021-07-06,6116,182,5867
148282,,Georgia,42.3154,43.3569,2021-07-06,371293,5383,355718
148283,,Germany,51.165691,10.451526,2021-07-06,3739575,91118,3628910
148284,,Ghana,7.9465,-1.0232,2021-07-06,96402,796,93987
148285,,Greece,39.0742,21.8243,2021-07-06,429144,12730,93764
148286,,Grenada,12.1165,-61.679,2021-07-06,161,1,160
148287,,Guatemala,15.7835,-90.2308,2021-07-06,305319,9548,271562
148288,,Guinea,9.9456,-9.6966,2021-07-06,23895,174,23245
148289,,Guinea-Bissau,11.8037,-15.1804,2021-07-06,3901,70,3602
148290,,Guyana,4.860416,-58.93018,2021-07-06,20568,482,18466
148291,,Haiti,18.9712,-72.2852,2021-07-06,19107,462,12915
148292,,Holy See,41.9029,12.4534,2021-07-06,27,0,27
148293,,Honduras,15.2,-86.2419,2021-07-06,270020,7149,93654
148294,,Hungary,47.1625,19.5033,2021-07-06,808294,29998,740327
148295,,Iceland,64.9631,-19.0208,2021-07-06,6555,29,6476
148296,,India,20.593684,78.96288,2021-07-06,30663665,404211,29799534
148297,,Indonesia,-0.7893,113.9213,2021-07-06,2345018,61868,1958553
148298,,Iran,32.427908,53.688046,2021-07-06,3286923,85095,2953586
148299,,Iraq,33.223191,43.679291,2021-07-06,1388323,17376,1277242
148300,,Ireland,53.1424,-7.6921,2021-07-06,275038,5000,23364
148301,,Israel,31.046051,34.851612,2021-07-06,843892,6429,834257
148302,,Italy,41.87194,12.56738,2021-07-06,4264704,127704,4094421
148303,,Jamaica,18.1096,-77.2975,2021-07-06,50404,1096,33699
148304,,Japan,36.204824,138.252924,2021-07-06,809909,14834,776490
148305,,Jordan,31.24,36.51,2021-07-06,754281,9795,737709
148306,,Kazakhstan,48.0196,66.9237,2021-07-06,499755,3550,457543
148307,,Kenya,-0.0236,37.9062,2021-07-06,186453,3697,129165
148308,,Kiribati,-3.3704,-168.734,2021-07-06,2,0,0
148309,,South Korea,35.907757,127.766922,2021-07-06,162753,2033,151500
148310,,Kosovo,42.602636,20.902977,2021-07-06,107810,2265,105397
148311,,Kuwait,29.31166,47.481766,2021-07-06,367642,2049,346993
148312,,Kyrgyzstan,41.20438,74.766098,2021-07-06,133303,2054,113975
148313,,Laos,19.85627,102.495496,2021-07-06,2356,3,2104
148314,,Latvia,56.8796,24.6032,2021-07-06,137699,2531,134354
148315,,Lebanon,33.8547,35.8623,2021-07-06,545965,7865,533692
148316,,Lesotho,-29.61,28.2336,2021-07-06,11634,333,6552
148317,,Liberia,6.428055,-9.429499,2021-07-06,4918,134,2464
148318,,Libya,26.3351,17.228331,2021-07-06,196894,3215,179685
148319,,Liechtenstein,47.14,9.55,2021-07-06,3047,59,2968
